Gen,PhotoNum,Person,Trident
14,14_1,Taylor,28.802
14,14_2,Taylor,40.934
14,14_3,Taylor,38.015
14,14_4,Taylor,52.698
14,14_5,Taylor,1.551
14,14_6,Taylor,49.959
14,14_7,Taylor,27.444
14,14_8,Taylor,34.419
14,14_9,Taylor,18.103
14,14_10,Taylor,36.818
14,14_11,Taylor,17.334
14,14_12,Taylor,34.712
14,14_13,Taylor,11.448
14,14_14,Taylor,36.18
14,14_15,Taylor,36.725
14,14_16,Taylor,41.901
14,14_17,Taylor,47.035
14,14_18,Taylor,30.523
14,14_19,Taylor,43.446
14,14_20,Taylor,32.462
14,14_21,Taylor,20.103
14,14_22,Taylor,30.583
14,14_23,Taylor,66.887
14,14_24,Taylor,16.255
14,14_25,Taylor,23.775
14,14_26,Taylor,15.287
14,14_27,Taylor,17.69
14,14_28,Taylor,-2.505
14,14_29,Taylor,34.417
14,14_30,Taylor,-8.624
14,14_31,Taylor,43.301
14,14_32,Taylor,16.476
14,14_33,Taylor,47.986
14,14_34,Taylor,95.343
14,14_35,Taylor,47.427
14,14_36,Taylor,30.385
14,14_37,Taylor,23.697
14,14_38,Taylor,4.733
14,14_39,Taylor,41.834
14,14_40,Taylor,26.577
14,14_41,Taylor,23.486
14,14_42,Taylor,22.049
14,14_43,Taylor,35.792
14,14_44,Taylor,47.754
14,14_45,Taylor,48.306
14,14_46,Taylor,20.179
14,14_47,Taylor,56.679
14,14_48,Taylor,40.972
14,14_49,Taylor,15.733
14,14_50,Taylor,49.035
3,3_1,Taylor,60.692
3,3_2,Taylor,47.416
3,3_3,Taylor,19.9
3,3_4,Taylor,39.147
3,3_5,Taylor,56.761
3,3_6,Taylor,36.168
3,3_7,Taylor,14.166
3,3_8,Taylor,43.051
3,3_9,Taylor,47.064
3,3_10,Taylor,79.383
3,3_11,Taylor,46.234
3,3_12,Taylor,72.864
3,3_13,Taylor,29.713
3,3_14,Taylor,24.553
3,3_15,Taylor,34.603
3,3_16,Taylor,42.974
3,3_17,Taylor,59.354
3,3_18,Taylor,26.412
3,3_19,Taylor,36.076
3,3_20,Taylor,20.925
3,3_21,Taylor,33.241
3,3_22,Taylor,50.913
3,3_23,Taylor,37.544
3,3_24,Taylor,31.714
3,3_25,Taylor,74.911
3,3_26,Taylor,80.549
3,3_27,Taylor,30.701
3,3_28,Taylor,35.403
3,3_29,Taylor,57.616
3,3_30,Taylor,63.846
3,3_31,Taylor,50.763
3,3_32,Taylor,31.244
3,3_33,Taylor,41.649
3,3_34,Taylor,61.413
3,3_35,Taylor,45.055
3,3_36,Taylor,3.713
3,3_37,Taylor,32.649
3,3_38,Taylor,56.549
3,3_39,Taylor,40.945
3,3_40,Taylor,40.581
3,3_41,Taylor,41.492
3,3_42,Taylor,39.635
3,3_43,Taylor,41.676
3,3_44,Taylor,45.691
3,3_45,Taylor,49.154
3,3_46,Taylor,48.345
3,3_47,Taylor,40.133
3,3_48,Taylor,38.827
3,3_49,Taylor,28.095
3,3_50,Taylor,69.991
7,7_1,Taylor,37.511
7,7_2,Taylor,35.528
7,7_3,Taylor,37.023
7,7_4,Taylor,25.473
7,7_5,Taylor,51.665
7,7_6,Taylor,21.343
7,7_7,Taylor,73.99
7,7_8,Taylor,28.667
7,7_9,Taylor,44.513
7,7_10,Taylor,15.479
7,7_11,Taylor,32.995
7,7_12,Taylor,34.275
7,7_13,Taylor,46.572
7,7_14,Taylor,39.027
7,7_15,Taylor,39.848
7,7_16,Taylor,25.884
7,7_17,Taylor,25.994
7,7_18,Taylor,34.833
7,7_19,Taylor,59.515
7,7_20,Taylor,43.12
7,7_21,Taylor,19.343
7,7_22,Taylor,28.275
7,7_23,Taylor,39.497
7,7_24,Taylor,34.504
7,7_25,Taylor,47.005
7,7_26,Taylor,23.391
7,7_27,Taylor,39.24
7,7_28,Taylor,31.862
7,7_29,Taylor,26.028
7,7_30,Taylor,15.961
